original_author,fict_bio,pred_author,match
Shyam Selvadurai,"You were born in 1967 in Jaffna, Sri Lanka, and emigrated to Canada in 1984 amid escalating violence. In Toronto you studied literature at the University of Toronto and published short fiction before your acclaimed mid-1990s debut. Your work is marked by restrained prose, intimate explorations of queer desire, and clear-eyed portraits of family, class, and ethnic conflict across Sri Lanka and the Canadian diaspora. Later books and essays deepen this terrain, attentive to memory, migration, and civil-war aftershocks. You have taught writing workshops. Your honours include the Lambda Literary Award and the Trillium Book Award. You live in Toronto.",Shyam Selvadurai,1
Colm Toibin,"You were born in 1956 in New Ross, County Wexford. After studying at Trinity College Dublin, you worked as a journalist and editor, then spent formative years in Madrid and Lisbon, where the textures of exile, secrecy, and return became central to your fiction. Your novels and essays are marked by spare, patient sentences, exacting attention to domestic ritual, and an unsentimental compassion for characters negotiating silence, sexuality, and belonging. You have written criticism of European and American writers and reported widely from Spain and Ireland. Your work has been honored with the James Tait Black Memorial Prize.",Colm Tóibín,1
Dan Vyleta,"You were born in 1975 in Vienna, Austria, and emigrated to Canada as a teenager. Trained as a historian, you took degrees at the University of Toronto and the University of Cambridge before teaching modern European history in Britain. Your fiction, beginning with a 2008 debut, brings a historian’s eye to the moral shadows of postwar Central Europe: claustrophobic streets, whispering neighbors, the slow corrosion of trust. You favor intimate ensemble casts, precise observation, and plots that coil like investigations rather than unfold as confession. Alongside scholarly essays, you write full time in London. Your first novel won the CWA New Blood Dagger and secured translation in several languages.",Anna Funder,0
Rabih Alameddine,"You were born in 1961 in Beirut, Lebanon. You spent your childhood between Beirut and Kuwait City before immigrating to the United States in your late teens. Trained as an engineer at a California university, you later turned to painting and, eventually, to fiction, dividing your time between San Francisco and the Levant. Your novels and stories interweave personal memory with regional history, employing polyphonic voices, digressive structures, and an abiding interest in myth and the art of storytelling. You write with mordant humor and compassion about war, exile, and the fragile architectures of family. You have received a Guggenheim Fellowship and the Arab American Book Award.",Rabih Alameddine,1
Daniel Alarcon,"You were born in 1978 in Arequipa, Peru, and emigrated to the United States in childhood, growing up in Northern California. After studying sociology at UCLA and completing an MFA at the University of Michigan, you published a debut story collection in 2004 and a novel in 2008. Your fiction and reporting have appeared in The New Yorker, Granta, and Harper’s, and you have taught writing while traveling frequently through the Andes and coastal cities. You are known for lucid, economical prose that blends intimate voices with documentary texture, illuminating migration, political rupture, and memory. You received a Whiting Writers’ Award in 2006.",Daniel Alarcón,1
Anthony Doerr,"You were born in 1972 in Minneapolis, Minnesota, and grew up amid lakes and long winters that seeded your fascination with light, weather, and the natural world. After studying history and working abroad, you settled in the Mountain West, where you write and occasionally teach. By now you have published a debut story collection, a novel, and a memoir, each marked by precise, lyrical prose and a curious engagement with science, memory, and the ways families endure across distance. Your settings range from coastal villages to laboratories and archives. You have received a Whiting Writers’ Award and a National Endowment for the Arts Literature Fellowship.",Anthony Doerr,1
Percival Everett,"You were born in 1957 in Charleston, South Carolina. After studying literature at Duke and completing an MFA at the Iowa Writers’ Workshop, you taught at universities across the West. Your novels fuse satire with formal experiment, shifting among realism, parable, and metafiction to examine race, language, and authority. The prose is precise, dryly comic, and attentive to landscape. You resist a single genre, and your books test the limits of category and voice. Honors include a Whiting Writers’ Award and the PEN Center USA Award for Fiction.",Percival Everett,1
Richard Flanagan,"You were born in 1962 in Launceston, Tasmania. Raised in a working family, you studied history before returning to the island’s rivers and towns that shape your imagination. After early work in journalism and occasional screenwriting, you turned to fiction in the mid‑1990s, publishing novels and essays through the 2000s. Your work is marked by lyrical precision, moral gravity, and a sustained engagement with Tasmanian landscapes, colonial histories, and the endurance of memory. You often braid archival detail with intimate narratives of love, guilt, and survival. Widely translated and critically discussed, you have received the Miles Franklin Award and held fellowships that supported your continued writing.",Richard Flanagan,1
Karen Joy Fowler,"You were born in 1951 in Madison, Wisconsin, and grew up on the West Coast. After studying history at UC Davis, you settled in Northern California, where you raised a family and began publishing short fiction in the 1980s. Your work bridges literary and speculative traditions, using careful research, restrained humor, and ethical inquiry to explore communities of women, the ambiguities of science, and the traces of American history. A first novel in the early 1990s brought wider notice; books and stories confirmed a reputation for formal versatility and psychological acuity. You have received the Nebula Award and continue to champion imaginative writing.",Karen Joy Fowler,1
Bill Gaston,"You were born in 1954 in Winnipeg, Manitoba. After moving west as a young adult, you worked as a fishing guide, tree planter, and briefly a hockey goalie in France before completing graduate studies and turning to teaching. You now teach creative writing at the University of British Columbia Okanagan. Your novels and stories chart working lives along the Pacific coast and prairie margins, blending dry comedy with compassion and an unsentimental attention to vulnerability. Known for exact, unshowy prose and moral acuity, you bring dignity to flawed characters and ordinary calamities. Your work has received the Ethel Wilson Fiction Prize and the ReLit Award, and appears regularly in national anthologies.",John Vigna,0
Claire Holden Rothman,"You were born in 1964 in Montreal, Quebec. After studying literature at McGill University, you built a career as a literary translator and short-story writer before turning to historical fiction. Your novels and stories, often set in Montreal’s bilingual landscape, merge meticulous archival research with intimate psychological portraits, exploring justice, belonging, and the pressures of public life on private relationships. You have translated major Quebec authors and taught writing workshops at Concordia University and the Quebec Writers’ Federation. Your work has been recognized with the John Glassco Translation Prize, and your fiction has earned national attention for its lucid prose and moral nuance.",Claire Holden Rothman,1
Frances Itani,"You were born in 1945 in Kingston, Ontario. Trained first as a nurse, you later studied literature and worked abroad before settling in Ottawa. Since the 1980s, you have published short fiction, poetry, and novels that examine memory, the legacies of war, and communities often overlooked, including those shaped by silence and impairment. Your prose is spare, attentive to detail and sound, and grounded in thorough research and humane observation. You have taught workshops and traveled widely, yet your work remains anchored in Canadian landscapes and histories. Your books have received the Ottawa Book Award and the Canadian Authors Association Award for Fiction.",Elizabeth Hay,0
Thomas King,"You were born in 1945 in Albuquerque, New Mexico, of Cherokee and Irish heritage. After graduate study in English, you moved to Canada in the late 1970s, became a citizen, and taught Indigenous literatures at the University of Saskatchewan and, later, at a university in Ontario. Your novels, stories, and radio essays braid oral tradition with postmodern structure, balancing sardonic wit and gravity; recurring trickster figures unsettle official histories while giving voice to contemporary Native life. A frequent presence on CBC Radio, you mentor emerging writers. Your work has received the Writers’ Trust Engel/Findley Award and the Rogers Writers’ Trust Fiction Prize.",Thomas King,1
Phil Klay,"You were born in 1982 in Newark, New Jersey. After graduating from Amherst College, you served as a Marine Corps civil affairs officer in Anbar Province from 2006 to 2007. Returning home, you entered Columbia University’s MFA program, publishing stories in journals such as Granta and The Kenyon Review. Your work is distinguished by rigorously observed depictions of military life, ethical scrutiny, and a disciplined voice that bridges the distance between combat and the American home front. You lecture at veterans’ organizations and teach writing workshops. Early recognition includes a Pushcart Prize, affirming a career devoted to clear-eyed narratives of war and its aftermath.",Phil Klay,1
Sean Michaels,"You were born in 1981 in Aberdeen, Scotland, and moved to Canada as a child, growing up in Toronto before settling in Montreal. You founded an early MP3 blog and your essays and criticism have appeared in The Guardian and The Globe and Mail. Your work marries curiosity about sound and technology with closely observed portraits, written in lyrical prose. Beyond criticism, you publish short fiction in Canadian journals and are at work on a first novel. You have received a National Magazine Award for Arts & Entertainment and a CBC Literary Award for short story, distinctions that reflect your meticulous craft and quiet ambition.",Carl Wilson,0
Neel Mukherjee,"You were born in 1972 in Kolkata, and read English at Presidency College before graduate study at the University of Oxford. After a period in publishing, you began writing fiction and criticism, dividing your time between London and India. Your work probes the fractures of family, class, and historical violence, marrying formal precision with sensuous detail and a sharp moral intelligence. You map migration and memory through intergenerational narratives, attentive to the cadences of Bengali and English. Your debut received strong notices, followed by essays and reviews across British and Indian outlets. You have won the Betty Trask Award and continue to teach occasional seminars.",Neel Mukherjee,1
Marilynne Robinson,"You were born in 1945 in Missoula, Montana, and grew up in the inland West, where mountains, rivers, and spare communities formed your earliest sense of moral weather. After graduate study in literature, you settled into teaching at a Midwestern university, dividing your time between essays and fiction. Your novels, set largely in small prairie and river towns, are distinguished by lucid, contemplative prose, theological inquiry, and a patient attention to conscience, kinship, and grace. Your essays bring history and Protestant thought into conversation with contemporary life. You have received the PEN/Faulkner Award for Fiction and a Guggenheim Fellowship.",Marilynne Robinson,1
Joan Silber,"You were born in 1946 in Montclair, New Jersey, and have lived in New York City for most of your adult life. After studying literature, you taught at Hunter College and in the Warren Wilson MFA Program. Your fiction—often constructed as linked stories or brief, time-skipping novels—follows the reverberations of choice across continents and decades, attentive to moral consequence, travel, and the ties between strangers. Your stories appear in magazines and anthologies. You are a PEN/Faulkner Award finalist and an O. Henry Prize recipient. Readers value your clear, measured prose and the way your narratives uncover large designs within ordinary lives.",Jayne Anne Phillips,0
Ali Smith,"You were born in 1963 in Aberdeen, Scotland. After studying English at the University of St Andrews and postgraduate work in Cambridge, you wrote for theatre and BBC radio before turning to fiction. Your early stories evolved into novels known for inventive structures, quicksilver wit, and humane, incisive attention to time, identity, and art. You move fluently between first- and second-person voices, braid essayistic passages with narrative, and relish the possibilities of the short form. Teaching and residencies punctuate a steady writing life between Edinburgh and London. Your work has earned the Somerset Maugham Award and the James Tait Black Memorial Prize, affirming a distinctive presence in contemporary British letters.",Ali Smith,1
Emily St. John Mandel,"You were born in 1980 in Nanaimo, British Columbia, and raised on the nearby Gulf Islands. After studying contemporary dance in Toronto, you settled in New York City, supporting yourself in administrative jobs while writing fiction. You have published two novels with an independent press, earning attention in Canada and the United States. Your work is marked by lucid, economical prose, shifting timelines, and the quiet pull of moral ambiguity; it often traces border crossings, itinerant communities, and the aftermath of small crimes. You have been shortlisted for the Arthur Ellis Award, and your second novel broadened your readership without compromising your austerity.",Kim Fu,0
Joan Thomas,"Born in 1952 in Regina, Saskatchewan, you built your early career as a magazine editor and literary critic before turning to fiction. After studying English and biology at the University of Saskatchewan, you wrote reviews for the Globe and Mail and contributed to CBC Radio, shaping a voice attentive to science, place, and ethics. Your novels braid natural history with prairie memory and the lives of unconventional women, distinguished by lucid prose, moral precision, and meticulous research. Based in Winnipeg, you also mentor emerging writers and teach occasional workshops. Your debut won the Amazon.ca First Novel Award and a Saskatchewan Book Award.",Candace Savage,0
Miriam Toews,"You were born in 1965 in Winkler, Manitoba, and raised in a Mennonite household that shaped your ear for restraint. After studying literature at the University of Saskatchewan, you worked as a reporter and producer in Winnipeg before turning to fiction. Across several novels and a memoir, you braid unsentimental comedy with the aftermath of loss, attentive to girls and women navigating duty, secrecy, and faith in prairie towns. Your spare voice and precise social detail have earned readers beyond Canada. You have won the Commonwealth Writers’ Prize (Canada and the Caribbean) and the McNally Robinson Book of the Year.",Miriam Toews,1
Valerie Trueblood,"You were born in 1942 in Des Moines, Iowa. After studying English at a Midwestern university, you worked as a newspaper editor and later in public policy in Washington, D.C., before settling in Seattle. Your career has balanced civic work with fiction: precise, elliptical stories and a quietly daring novel of ordinary lives under moral pressure. Your prose is attentive to time, caretaking, secrecy, and the fragile bonds of kinship, often finding drama in overlooked corners. You have taught workshops and mentored emerging writers while publishing in national magazines. Your work has been recognized with an O. Henry Prize and a Pushcart Prize, affirming its clarity, economy, and unflinching compassion.",Tobias Wolff,0
Andre Alexis,"You were born in 1960 in Castries, Saint Lucia, and moved to Canada as a child, growing up in Ottawa before settling in Toronto. After early work in theatre and for CBC Radio, you emerged as a novelist and essayist whose spare, measured prose frames fable-like narratives set against urban Canada. Your fiction probes faith, friendship, and moral choice with wit and philosophical clarity, often returning to Ottawa’s streets and immigrant households. You have written for stage and print and mentored younger writers. Among your honours is a regional Commonwealth Writers’ Prize, recognizing the distinct, metaphysical bent of your work.",André Alexis,1
Samuel Archibald,"You were born in 1979 in Chicoutimi, Quebec, and grew up in the Saguenay–Lac-Saint-Jean region. After studies in literature and film at the Université du Québec à Montréal, you completed doctoral work on popular narratives and began teaching there. Your fiction, first gathered in a 2009 short-story collection, fuses childhood memory with the industrial landscapes of the North, balancing realist detail with a discreet sense of dread. You favor plain, exact prose, an ear for spoken language, and an ethic of place that gives working-class lives historical depth. Alongside essays on cinema and culture, you received the Prix Adrienne-Choquette in 2009.",Geneviève Pettersen,0
Karen Bender,"You were born in 1968 in San Diego, California, and came of age on the West Coast before studying literature at UC Berkeley and earning an MFA from the Iowa Writers’ Workshop. After early work in New York publishing, you turned fully to fiction; your debut novel appeared in 2001, and your stories have since run in Ploughshares, The Kenyon Review, and Zoetrope: All-Story. You have taught creative writing at colleges and community programs in the Midwest and the South, and now live in Virginia. Your work is distinguished by psychological acuity, moral nuance, and an intimate focus on family and community under economic strain. Honors include a Rona Jaffe Foundation Writers’ Award.",Ann Packer,0
Jennifer Clement,"You were born in 1961 in Providence, Rhode Island, and raised in Mexico City. You studied literature at Columbia University and at the Université Paris VIII before returning to Mexico to write. Your novels, poems, and essays join documentary precision to a spare, lyrical voice, focusing on the lives of women, faith, and the shadow of violence in contemporary Mexico. You have published widely and your reporting has appeared in international magazines. As a mentor and organizer, you have helped nurture Mexico City’s literary community. Among your honors are a National Endowment for the Arts fellowship and a Whiting Writers’ Award.",Valeria Luiselli,0
Rachel Cusk,"You were born in 1968 in Toronto, and grew up between southern California and the south of England. After reading English at St John’s College, Cambridge, you settled in London and began publishing novels in the 1990s. Your fiction, spare and exacting, probes the compromises of family life, the pressures of class, and the instability of self, often blending essayistic reflection with narrative. Alongside your novels, you have written essays and a frank memoir of early parenthood that provoked public debate. You have received the Somerset Maugham Award and the Betty Trask Prize, and you teach creative writing while continuing to write.",Rachel Cusk,1
Angela Flournoy,"You were born in 1984 in San Diego, California. Raised in a family with roots in Detroit, you studied at Stanford University and earned an MFA from the University of Michigan. After a stint in Washington, D.C., working in research and teaching, you turned to fiction, publishing stories in Callaloo and The Iowa Review. Your work traces Black Midwestern families across generations, attentive to the geographies of work, migration, and memory; the prose is measured yet warm, and ensemble voices carry historical weight without sentimentality. Recipient of a Rona Jaffe Foundation Writers’ Award and the Hurston/Wright Award for College Writers, you are completing your first novel.",Brit Bennett,0
Lauren Groff,"You were born in 1979 in Saratoga Springs, New York. After studying literature at Williams College and earning an MFA from the University of Michigan, you settled in Tallahassee, where you teach and write. Your debut novel, set in the layered histories of an upstate town, became a national bestseller in 2007; a story collection followed in 2009. Your fiction is marked by lyrical sentences, braided structures, and an interest in myth, archives, and the private reckonings of women, often rendered against exacting landscapes. Your stories have appeared in The New Yorker and The Atlantic, and you have received an O. Henry Award and a Pushcart Prize.",Lauren Groff,1
James Hannaham,"You were born in 1967 in Philadelphia, Pennsylvania. After studying literature and visual art at Brown University, you worked as a cultural critic and editor, contributing to Slate and Time Out New York before turning to fiction. Your debut novel appeared in 2009 to strong reviews, and you now teach creative writing at The New School. Your work is marked by formal experiment, mordant humor, and close attention to the intersections of race, sexuality, faith, and American ambition. A practicing visual artist as well, you often integrate performance and text. You are the recipient of a Whiting Writers' Award.",John Keene,0
Helen Humphreys,"You were born in 1962 in Cambridge, England, and immigrated to Canada as a child, growing up in Ontario before settling in Ottawa. Beginning as a poet, you later turned to fiction, publishing lean, lyrical novels that braid private lives with the larger dislocations of history. Your work is distinguished by precision of language, an abiding attention to landscape and craft, and a quiet, unsentimental empathy for people under strain—particularly women negotiating war, work, and memory. You have taught writing workshops across the country and edited small-press projects. Your books have received the Trillium Book Award and the Ottawa Book Award.",Helen Humphreys,1
Clifford Jackman,"You were born in 1982 in North Bay, Ontario. After studying history at Queen’s University, you earned a law degree from Osgoode Hall and now practice in Toronto. Alongside your legal career, you publish short fiction in Canadian journals, including The Walrus, The Fiddlehead, and Prairie Fire. Your work is distinguished by austere, carefully controlled prose, bleak humor, and an unflinching interest in power, violence, and the erosion of moral certainty, often within historical or frontier settings. You have been shortlisted for the Journey Prize and received a National Magazine Award. You are at work on a novel while continuing to develop stories that test genre against literary rigor.",Andrew F. Sullivan,0
Marlon James,"You were born in 1971 in Spanish Town, Jamaica. After studying literature at the University of the West Indies, you worked in advertising before relocating to the United States, where you now teach writing at a Minnesota college. Your debut novel appeared in 2005; a second, in 2009, confirmed your command of Caribbean history and its afterlives. Your fiction blends biblical cadence with street vernacular, moving between brutal realities and visionary myth, and is noted for polyphonic voices, moral complexity, and fearlessly rendered violence. Your second novel received the Hurston/Wright Legacy Award and brought wider attention from critics and readers across the Atlantic.",Marlon James,1
Adam Johnson,"You were born in 1968 in Fargo, North Dakota, and grew up in the desert Southwest. After studying literature and writing, you settled in California, where you teach creative writing and publish stories and a novel. Your work blends meticulous research with daring imagination, exploring technological unease, political satire, and the private fallout of public histories. Often set in overlooked American towns and closed societies abroad, your narratives balance moral urgency with dark humor and lyrical precision. Your stories have appeared in The Paris Review and Harper’s Magazine. You have received a National Endowment for the Arts fellowship and a Pushcart Prize.",Jess Row,0
Chigozie Obiomo,"Born in 1985 in Enugu, Nigeria, you grew up amid markets and ancestral narratives, later studying literature at the University of Nigeria, Nsukka. A Fulbright Fellowship carried you to the Iowa Writers’ Workshop, where you refined a lyrical prose that draws on Igbo cosmology, oral cadence, and the moral tensions of family and fate. Your fiction interrogates authority, prophecy, and communal memory, setting intimate lives against the pressures of a changing nation. Early stories and a novel-in-progress have attracted attention for their measured structure and gravitas. You teach and write between the Midwest and Lagos, marrying mythic frameworks with contemporary realism.",Chigozie Obioma,1
Jenny Offill,"You were born in 1969 in Concord, New Hampshire. After studying literature at the University of Vermont, you moved to New York, where you have taught writing at Hunter College and The New School. Your debut novel appeared in 1999 and was acclaimed for its lucid, compressed prose, scientific curiosities threaded through domestic scenes, and a quietly comic intelligence. In recent years you have also written picture books for children. Your work is distinguished by fragmentary structures, precise observational detail, and an ethical attention to the unsettled territories of family and thought. You have received a Rona Jaffe Foundation Writers’ Award and a NYFA fellowship.",Rivka Galchen,0
Jeffrey Renard Allen,"You were born in 1963 in Detroit, Michigan. Raised in a blue-collar neighborhood, you studied literature in the Midwest and later taught writing at colleges in New York and Illinois. Your debut novel appeared in 1999, followed by a story collection in 2006, establishing you as a stylist of rare musicality. Your work braids family history with urban geographies and the long arc of the Great Migration, drawing on gospel and jazz to shape polyphonic narratives. Critics note your precise ear, structural daring, and moral gravity. Among your honors are a Hurston/Wright Legacy Award and a Guggenheim Fellowship, recognizing sustained achievement.",Kevin Young,0
Sunjeev Sahota,"You were born in 1982 in Leicester, to Punjabi Sikh parents. After reading economics at the University of Warwick, you joined a Leeds-based financial firm, writing at night and on weekends. Your fiction examines contemporary migration, working-class life in the Midlands and North, and the moral frictions between duty and desire, rendered in taut, lyrical prose and attentive social detail. Since your debut in 2009, you have been recognized with the Betty Trask Award and the Somerset Maugham Award. You live in Manchester, make regular visits to family in Punjab, and are known for research-driven narratives that braid intimate voice with wider political and economic currents.",Sunjeev Sahota,1
Anakana Schofield,"You were born in 1973 in Sligo, Ireland. After years in London’s arts community, you emigrated to Canada in 2001 and settled in Vancouver, where you have worked in broadcasting and cultural criticism while developing your fiction. Your writing is distinguished by interior monologue, acerbic humor, and formally adventurous structures that examine women’s lives, migration, and the bureaucratic absurdities of ordinary existence. Your essays and short stories have appeared in The Guardian, The Irish Times, and Canadian journals, and you have contributed to CBC Radio. A debut novel is in progress. You have received a National Magazine Award (Canada) and the Bridport Prize for short fiction.",Anakana Schofield,1
Anne Tyler,"You were born in 1942 in St. Paul, Minnesota. After moving east for college, you settled in Philadelphia, where you raised a family and sustained a steady career as a novelist. Since your debut in the late 1960s, you have published more than fifteen novels, earning a devoted readership for intimate portraits of ordinary lives. Your work is marked by meticulous domestic detail, quiet humor, and compassionate insight into family bonds and second chances, often set in rowhouse neighborhoods of your adopted city. Your honors include the National Book Critics Circle Award and the PEN/Faulkner Award for Fiction.",Anne Tyler,1
Guy Vanderhaeghe,"You were born in 1953 in Swift Current, Saskatchewan. Raised on the prairies, you studied history at the University of Regina and later taught creative writing at the same institution, with periods as writer-in-residence in Saskatoon. Since the early 1980s, you have published acclaimed short story collections and historical novels that probe the moral ambiguities of frontier life and the entanglements of Canada and the American West. Your prose is controlled and unsentimental, attentive to labor, landscape, and the pressures of class and power. You have won the Governor General’s Award for Fiction and a Saskatchewan Book Award. You live in Saskatchewan, continuing to write and mentor younger authors.",Guy Vanderhaeghe,1
Luis Alberto Urrea,"You were born in 1957 in Nogales, Sonora, and raised across the line in Arizona, a childhood that fixed the border as your central subject. After studying literature in the United States, you worked as a translator and reporter, then turned to teaching and to books that braid documentary precision with spiritual and folkloric textures. Your prose moves between English and Spanish with measured grace, attentive to migrants, families, and the ordinary sacred. Essays and novels alike draw on fieldwork and family memory, arguing quietly for compassion. You have received the American Book Award and a PEN Center USA Literary Award, and you continue to lecture and publish widely.",Luis Alberto Urrea,1
Mona Awad,"You were born in 1979 in Ottawa, Canada, and grew up between Ontario and the northeastern United States. After undergraduate study in English at Concordia University, you completed an MFA in fiction at Syracuse, where you began publishing stories in magazines such as Tin House, The Walrus, and American Short Fiction. Your work, marked by incisive humor, Gothic undertones, and a precise attention to the politics of the body, examines desire, friendship, and transformation with unsparing clarity. You have taught writing and held residencies that deepened your commitment to the page. Early honors include a Rona Jaffe Foundation Writers’ Award and a Pushcart Prize.",Carmen Maria Machado,0
Chris Bachelder,"You were born in 1972 in St. Paul, Minnesota. After undergraduate study at the University of Minnesota and an MFA at the University of Michigan, you taught creative writing at Colorado College and the University of Florida. Your two novels and a body of short prose, with work in McSweeney’s, The Believer, and The Oxford American, investigate American consumer culture, politics, and media spectacle through collage-like forms, documentary pastiche, and dry, humane satire. You are known for ensemble voices, annotated structures, and meticulous comic timing that sharpens moral inquiry. You have received a Whiting Writers’ Award and an NEA Literature Fellowship.",Wells Tower,0
Gary Barwin,"You were born in 1965 in Derry, Northern Ireland, and emigrated to Canada as a child, settling in Ontario. Trained in music composition and literature, you have built a career as a poet, fiction writer, and interdisciplinary artist, publishing with Canadian small presses and presenting performances that unite text, sound, and image. Your work is marked by linguistic play, rhythmic structures, and a reflective engagement with memory, migration, and Jewish cultural histories. You teach and mentor in community and university settings, edit chapbooks, and collaborate with musicians and visual artists. Your honors include the K.M. Hunter Artist Award and the Hamilton Literary Award for Poetry.",Suzanne Stein,0
Paul Beatty,"You were born in 1964 in Oakland, California. After studying psychology at a Midwestern university, you moved to New York for an MFA in creative writing, emerging first as a poet before turning to fiction. Across several books by the late 2000s, you cultivate a distinctive satire that interrogates race, citizenship, and popular culture with exacting humor, intricate wordplay, and a musician’s ear for cadence. Your narratives braid scholarship with vernacular speech, shifting registers to expose moral fault lines. You have taught writing and published essays. Your work has been recognized with a Whiting Award and the Hurston/Wright Legacy Award.",Paul Beatty,1
Anosh Irani,"You were born in 1972 in Pune, India, and raised in a Parsi household. You moved to Vancouver in 1997 and studied writing and dramaturgy at Simon Fraser University. After a stint in advertising, you turned to fiction and theatre full-time. Your novels and plays, often set in Mumbai’s backstreets, fuse gritty realism with fable, giving voice to the dispossessed through spare lyricism and dark humor. Your work has been staged in Canada and India. You have received the Ethel Wilson Fiction Prize and a Commonwealth Writers’ Prize.",Anosh Irani,1
Julie Iromuanya,"You were born in 1981 in Des Moines, Iowa, the child of Nigerian immigrants. Raised in the Midwest, you studied English and anthropology at the University of Iowa and completed an MFA in fiction at the University of Arizona. You now teach composition and creative writing at a public university and are completing a first novel. Your stories, appearing in The Kenyon Review, The Southern Review, and Prairie Schooner, explore migration, kinship, and the fragile bargains of ambition, with measured irony and close psychological attention. A careful stylist, you favor polyphonic narration and the uneasy comedy of cross-cultural misrecognition. You are a recipient of a Rona Jaffe Foundation Writers’ Award.",Adaeze Anane-Nzelu,0
Paulette Jiles,"You were born in 1946 in Springfield, Missouri, and came of age in the Ozarks before moving north in the 1970s to work in Canadian public broadcasting. Trained first as a poet, you later turned to historical fiction, drawing on borderlands histories and the long echoes of war. Your novels and essays are marked by musical, economical prose, close attention to landscape, and portraits of resilient women negotiating contested ground. After settling in the Texas Hill Country, you continued to publish poetry alongside widely praised novels. Your work has received the Western Writers of America Spur Award, and it remains grounded in rigorous research and lived place.",Paulette Jiles,1
Kerry Lee Powell,"Born in 1970 in Swansea, Wales, you emigrated to Halifax as a child and were raised along the Atlantic coast. After studying literature at Dalhousie University, you worked in museums and on coastal boats before turning full-time to poetry and short fiction. Your work, published in journals such as The Fiddlehead, The Malahat Review, and The Walrus, is marked by compressed lyricism, exacting structure, and an unflinching attention to power, class, and the aftershocks of violence. You have taught community workshops and edited small-press projects. Honors include the CBC Literary Award for short fiction and the Malahat Review Long Poem Prize.",Annick MacAskill,0
Catherine Leroux,"You were born in 1980 in Québec City. After studying philosophy and translation at the Université de Montréal, you worked as a journalist and translator, experiences that shaped the precision and ethical undercurrents of your prose. Your stories and first novel, published in 2009, explore interlaced families and the subtle estrangements of urban life, often edging toward the speculative while remaining rooted in contemporary Quebec. Critics note your restrained style, structural audacity, and attentiveness to the cadences of a bilingual culture. You have contributed to Quebec journals and radio features. Early recognition includes the Prix littéraire des collégiens (2009) for your debut novel and the CBC/Radio-Canada Short Story Prize (2007). You live in Montreal.",Dominique Fortier,0
Deborah Levy,"You were born in 1960 in Cape Town and moved to Britain in your teens when your family left apartheid-era South Africa. You studied literature and drama at Goldsmiths, University of London, and built a career as both novelist and playwright, with work staged at the Royal Court and produced for BBC Radio 4. Your fiction is distinguished by lucid, pared-down sentences, fractured structures, and a forensic interest in exile, desire, and the unstable self; your plays probe private power struggles with cool intensity. You have taught intermittently, written essays, and received the Somerset Maugham Award and a Writers’ Guild Award.",Deborah Levy,1
Graeme Macrae Burnet,"You were born in 1969 in Paisley, Scotland, and studied English at the University of Aberdeen before teaching in Budapest and Lille. Back in Glasgow, you worked as a researcher on independent television documentaries and in small-press publishing. Your stories have appeared in New Writing Scotland and Gutter, and your debut novel from a Scottish independent press has marked you as a distinctive voice. Your work melds archival fragments, faux-documentary forms, and unreliable testimony to examine culpability and memory across Scottish and continental settings. You received a Scottish Arts Council New Writers Award, recognition for prose noted for precision, psychological acuity, and a dry, investigative tone.",Graeme Macrae Burnet,1
Ottessa Moshfegh,"You were born in 1982 in Cambridge, Massachusetts. After studying literature at Columbia University, you taught English in Tokyo and worked a string of demanding jobs that sharpened your eye for abjection and comedy in ordinary life. An MFA from the Iowa Writers’ Workshop followed, where you began publishing stories in The Paris Review and Granta. Your work is marked by exacting prose, mordant humor, and unsentimental portraits of solitary, often discomfiting characters. You live in New York, completing a first novel and continuing to write short fiction. Your stories have received a Pushcart Prize and an O. Henry Prize.",Ottessa Moshfegh,1
Viet Thanh Nguyen,"Born in 1972 in Da Nang, Vietnam, you arrived in the United States as a refugee and grew up in Orange County, California. Educated at UC San Diego and Yale, you teach English and Asian American Studies at UCLA. Your essays appear in the Los Angeles Times, The Nation, and scholarly journals. Your work interrogates war, memory, and refugee life, blending historical inquiry with moral urgency and restrained narrative; you trace the ties between private grief and public history and attend to translation and bilingual consciousness. Recipient of a National Endowment for the Arts literature fellowship and a Fulbright grant to Vietnam, you shape debates on diaspora, memory, and American power.",Viet Thanh Nguyen,1
David Szalay,"You were born in 1975 in Toronto and raised in Switzerland and southern England. After reading history at Cambridge, you worked in London before moving to Prague, where you committed yourself to fiction. Your first novel appeared in 2007, followed by a second in 2009; both probe work, ambition, and the unsettled freedoms of contemporary Europe. Your prose is spare and exact, guided by a cool, observational intelligence and a sustained interest in male solitude and economic dislocation. You have won the Somerset Maugham Award and the Authors’ Club First Novel Award, and your work is noted for its European range and moral seriousness.",Adam Foulds,0
Elizabeth Tallent,"You were born in 1955 in Portland, Oregon. After studying literature at a Midwestern university, you moved west, where you built a life of teaching and writing. Your stories and essays appear in The New Yorker, Harper’s Magazine, and The Paris Review, and your collections have earned a quiet, enduring readership. As a teacher at the University of California, Davis, you are known for meticulous mentorship. Your work is distinguished by exacting prose, moral intelligence, and a keen ear for the fractures within families and the solitude of coastal landscapes. You have received an O. Henry Prize and a National Endowment for the Arts fellowship.",Elizabeth Tallent,1
